participant_id,stepOne_Param,stepOneTwo_Param,stepTwoTwo_Param,rewards_Param,stepOneChoice,stepTwoChoice,reward,rewardProbabilities,isHighProbOne,isHighProbTwo,trial_type,trial_index,time_elapsed,internal_node_id
1,"[1,0]","[1,0]","[2,3]","[false,true,false,false]",1,3,False,"[0.3799452208257287,0.5225284857385013,0.47535141247394863,0.6512115267016956]",True,True,dawsTwoStep,37,188698,0.0-37.0
1,"[1,0]","[0,1]","[2,3]","[false,true,false,true]",0,0,False,"[0.40716876848190797,0.550365912804007,0.45338623519103227,0.6545278635084315]",True,True,dawsTwoStep,38,193342,0.0-38.0
1,"[1,0]","[0,1]","[1,0]","[false,true,false,false]",0,1,True,"[0.3818807710763693,0.5796546203809462,0.4588697430406902,0.662811184838116]",True,False,dawsTwoStep,39,197057,0.0-39.0
1,"[1,0]","[1,0]","[1,0]","[true,false,true,true]",0,1,False,"[0.38439643871021784,0.6030939847086635,0.45866574327854737,0.6633937071709034]",True,False,dawsTwoStep,40,203289,0.0-40.0
1,"[0,1]","[1,0]","[2,3]","[false,true,true,true]",1,3,True,"[0.3758466980333067,0.6310488524007619,0.5323707094829738,0.6945222854657362]",True,True,dawsTwoStep,41,206843,0.0-41.0
1,"[0,1]","[0,1]","[2,3]","[false,true,true,false]",1,3,False,"[0.375048745264663,0.5971286481645447,0.5067041423617465,0.6685010891600683]",True,True,dawsTwoStep,42,209768,0.0-42.0
1,"[0,1]","[0,1]","[3,2]","[false,false,true,false]",0,0,False,"[0.3695462417938926,0.5971700850666376,0.4843004175162444,0.6686825983739438]",True,True,dawsTwoStep,43,215851,0.0-43.0
1,"[1,0]","[1,0]","[2,3]","[false,false,true,true]",1,3,True,"[0.34514140646292546,0.5829250592009829,0.4643857641613426,0.6703772978544688]",True,True,dawsTwoStep,44,219152,0.0-44.0
1,"[0,1]","[1,0]","[3,2]","[false,true,true,true]",1,3,True,"[0.32269640696039026,0.5684231230535362,0.44923383666701633,0.6797154003459307]",True,True,dawsTwoStep,45,222726,0.0-45.0
1,"[1,0]","[1,0]","[2,3]","[false,true,false,true]",1,3,True,"[0.2705075301528516,0.5383288509616836,0.4657489729808748,0.7028883225138934]",True,True,dawsTwoStep,46,226053,0.0-46.0
1,"[1,0]","[1,0]","[2,3]","[false,true,true,false]",1,3,False,"[0.27747273674970585,0.5333861422763568,0.4755961000932022,0.6718224857607308]",True,True,dawsTwoStep,47,229426,0.0-47.0
1,"[1,0]","[2,3]","[1,0]","[false,true,false,true]",0,3,True,"[0.25285387046825997,0.5244161884193645,0.48533733963156317,0.6581936563396406]",False,False,dawsTwoStep,48,240064,0.0-48.0
1,"[0,1]","[3,2]","[3,2]","[true,true,true,false]",1,3,False,"[0.25,0.5128219576840289,0.48154281429582535,0.6706628399677655]",False,True,dawsTwoStep,49,244932,0.0-49.0
1,"[0,1]","[1,0]","[2,3]","[false,false,false,false]",1,3,False,"[0.25,0.5056672401091854,0.4738681579147255,0.6512049022622002]",True,True,dawsTwoStep,50,248333,0.0-50.0
1,"[0,1]","[0,1]","[0,1]","[false,true,true,true]",1,0,False,"[0.252371571581528,0.48612707546971384,0.501292474030581,0.6801065493334691]",True,False,dawsTwoStep,51,253990,0.0-51.0
1,"[1,0]","[1,0]","[2,3]","[true,false,true,false]",0,1,False,"[0.25,0.5138579307895319,0.5290576090396676,0.6487763562546142]",True,True,dawsTwoStep,52,258776,0.0-52.0
1,"[0,1]","[1,0]","[3,2]","[true,true,false,true]",0,0,True,"[0.26142790125724436,0.4855112756046649,0.5410058330543425,0.6783718696999803]",True,True,dawsTwoStep,53,262190,0.0-53.0
1,"[1,0]","[3,2]","[1,0]","[false,true,false,true]",0,3,True,"[0.2870653424572076,0.4891047525057564,0.5799574811761664,0.6660552372283813]",False,False,dawsTwoStep,54,266271,0.0-54.0
1,"[1,0]","[0,1]","[3,2]","[false,true,false,false]",1,3,False,"[0.29831365612986693,0.4230158182864185,0.5743200665929354,0.6826789016644699]",True,True,dawsTwoStep,55,269687,0.0-55.0
1,"[1,0]","[1,0]","[1,0]","[false,false,true,true]",1,0,False,"[0.26478945677243015,0.386696774786969,0.6253099305502166,0.7113994718171723]",True,False,dawsTwoStep,56,274105,0.0-56.0
1,"[0,1]","[1,0]","[2,3]","[false,false,true,false]",0,0,False,"[0.25,0.3721011691806776,0.6376509965392917,0.6771329473630143]",True,True,dawsTwoStep,57,278075,0.0-57.0
1,"[0,1]","[1,0]","[3,2]","[false,false,true,true]",1,3,True,"[0.25,0.4009798133226514,0.6255373033554072,0.6970118429722411]",True,True,dawsTwoStep,58,282473,0.0-58.0
1,"[1,0]","[1,0]","[3,2]","[true,false,true,true]",1,3,True,"[0.2617828954526943,0.36491235074571665,0.6569057630671059,0.6600214279175722]",True,True,dawsTwoStep,59,285972,0.0-59.0
1,"[1,0]","[3,2]","[3,2]","[false,false,false,false]",1,3,False,"[0.27483189118678963,0.33242974940755415,0.6505623241982116,0.7095236264493087]",False,True,dawsTwoStep,60,288971,0.0-60.0
1,"[1,0]","[0,1]","[2,3]","[false,true,true,true]",0,0,False,"[0.25,0.3636539291825991,0.6261402828943731,0.7400050241971612]",True,True,dawsTwoStep,61,293278,0.0-61.0
